;score unique.ai ;score costumer methode
0;195;19
1;137;9
2;46;14
3;80;4
4;159;12
5;106;19
6;80;52
7;53;20
8;44;18
9;60;34
10;60;36
11;46;25
12;64;45
13;67;43
14;64;36
15;39;25
16;75;47
17;53;42
18;60;32
19;60;50
20;56;39
21;63;52
22;74;41
23;69;51
24;69;42
25;44;39
26;67;34
27;52;23
28;46;38
29;48;43
30;58;30
31;39;28
32;56;42
33;53;35
34;83;55
35;72;54
36;49;42
37;60;50
38;77;49
39;65;37
40;50;28
41;66;38
42;12;7
43;85;57
44;49;23
45;67;52
46;50;33
47;59;49
48;68;45
49;73;46
50;46;25
51;50;28
52;70;52
53;69;41
54;46;23
55;34;24
56;55;44
57;63;42
58;27;17
59;79;46
60;43;35
61;56;48
62;68;52
63;61;33
64;72;44
65;64;40
66;42;17
67;54;28
68;44;33
69;74;46
70;59;34
71;37;23
72;53;22
73;42;30
74;56;23
75;59;41
76;47;32
77;59;34
78;53;40
79;70;42
80;69;41
81;56;35
82;59;36
83;60;43
84;67;46
85;51;37
86;62;41
87;68;40
88;65;51
89;53;43
90;69;48
91;48;31
92;52;30
93;77;44
94;57;43
95;47;18
96;56;30
97;67;39
98;48;25
99;24;15
100;60;44
101;46;28
102;51;27
103;44;28
104;57;34
105;71;43
106;53;33
107;42;25
108;52;33
109;59;40
110;60;34
111;54;23
112;40;23
113;45;23
114;56;48
115;52;45
116;58;46
117;54;28
118;51;40
119;57;41
120;53;44
121;48;20
122;56;46
123;45;30
124;37;23
125;33;24
126;37;18
127;48;29
128;54;44
129;43;25
130;78;50
131;59;45
132;47;28
133;58;40
134;44;29
135;63;35
136;55;27
137;68;46
138;94;9
139;33;18
140;53;27
141;51;34
142;34;23
143;62;39
144;60;46
145;58;30
146;33;29
147;26;18
148;74;56
149;59;41
150;52;36
151;46;26
152;51;37
153;48;34
154;59;52
155;39;31
156;43;31
157;72;39
158;70;42
159;58;35
160;67;34
161;74;49
162;67;34
163;72;39
164;52;40
165;67;51
166;60;34
167;65;51
168;50;33
169;54;44
170;69;41
171;38;23
172;45;18
173;55;51
174;74;46
175;65;53
176;68;39
177;37;20
178;42;38
179;40;27
180;54;35
181;43;36
182;79;51
183;46;27
184;63;57
185;27;18
186;62;38
187;60;46
188;51;28
189;74;41
190;67;34
191;72;51
192;53;33
193;35;22
194;49;23
195;62;29
196;66;48
197;84;56
198;42;23
199;32;25
200;55;27
201;33;24
202;54;35
203;59;35
204;57;53
205;62;34
206;55;34
207;51;41
208;40;17
209;44;25
210;50;40
211;39;34
212;62;29
213;48;36
214;55;39
215;57;31
216;71;50
217;53;37
218;36;29
219;57;41
220;46;39
221;41;28
222;35;25
223;42;29
224;39;25
225;57;45
226;74;46
227;59;38
228;54;46
229;53;34
230;45;35
231;69;39
232;51;32
233;83;55
234;63;46
235;40;28
236;72;39
237;47;28
238;56;30
239;57;41
240;67;34
241;49;40
242;75;47
243;79;51
244;51;36
245;35;23
246;69;46
247;65;44
248;83;55
249;60;34
250;36;17
251;61;28
252;68;47
253;56;23
254;65;37
255;42;25
256;55;35
257;55;41
258;37;28
259;62;46
260;52;23
261;50;43
262;57;49
263;69;41
264;67;51
265;64;43
266;61;35
267;64;36
268;58;51
269;70;46
270;63;44
271;65;46
272;61;28
273;49;35
274;61;53
275;64;46
276;48;24
277;58;36
278;70;42
279;48;30
280;65;37
281;51;33
282;55;47
283;73;40
284;58;43
285;53;25
286;62;41
287;69;51
288;58;46
289;36;32
290;71;43
291;57;29
292;70;42
293;38;24
294;66;59
295;76;53
296;68;47
297;47;35
298;68;40
299;74;41
300;35;23
301;66;39
302;60;34
303;59;47
304;59;40
305;56;23
306;55;42
307;73;45
308;54;28
309;49;28
310;34;18
311;50;35
312;54;40
313;40;23
314;49;39
315;58;48
316;57;36
317;44;35
318;59;33
319;65;39
320;57;33
321;35;23
322;47;23
323;69;48
324;35;22
325;50;40
326;62;48
327;71;43
328;51;25
329;56;40
330;69;46
331;51;44
332;61;50
333;49;35
334;65;51
335;54;43
336;65;52
337;59;46
338;83;55
339;40;35
340;64;46
341;60;36
342;31;-2
343;64;46
344;47;35
345;51;14
346;77;57
347;59;45
348;62;43
349;53;39
350;58;48
351;62;38
352;63;46
353;37;28
354;67;48
355;58;52
356;41;31
357;73;40
358;59;34
359;67;34
360;50;29
361;55;22
362;67;34
363;64;43
364;44;25
365;53;25
366;56;46
367;61;40
368;48;15
369;58;45
370;79;46
371;26;18
372;50;38
373;74;46
374;51;39
375;73;52
376;58;30
377;53;25
378;55;44
379;52;19
380;45;25
381;52;38
382;67;34
383;58;46
384;54;39
385;42;23
386;81;53
387;59;38
388;46;41
389;40;28
390;41;24
391;68;40
392;61;28
393;49;35
394;24;13
395;48;41
396;66;45
397;68;35
398;45;37
399;74;56
400;46;39
401;59;41
402;30;20
403;41;34
404;53;37
405;50;30
406;82;54
407;65;42
408;69;41
409;43;25
410;60;53
411;58;52
412;42;29
413;58;30
414;61;44
415;65;37
416;56;34
417;50;27
418;71;43
419;60;41
420;24;13
421;65;37
422;65;47
423;19;-7
424;69;45
425;45;19
426;57;43
427;37;18
428;55;42
429;54;34
430;65;37
431;55;48
432;56;42
433;56;42
434;68;35
435;77;49
436;69;46
437;52;37
438;64;45
439;70;57
440;80;52
441;23;15
442;53;30
443;50;35
444;64;48
445;65;47
446;66;53
447;70;42
448;68;40
449;68;44
450;43;35
451;60;47
452;38;23
453;50;22
454;58;30
455;40;23
456;52;35
457;61;38
458;60;32
459;38;24
460;75;47
461;60;46
462;56;46
463;43;36
464;66;42
465;60;34
466;54;34
467;69;41
468;61;45
469;26;15
470;43;30
471;42;37
472;60;32
473;65;37
474;57;37
475;78;50
476;58;40
477;35;25
478;43;30
479;63;50
480;73;40
481;28;15
482;46;24
483;54;37
484;52;40
485;43;30
486;52;36
487;65;38
488;58;44
489;29;19
490;45;27
491;45;32
492;65;34
493;70;42
494;21;10
495;55;42
496;23;18
497;48;27
498;51;38
499;52;30
500;39;18
501;45;24
502;72;44
503;35;23
504;41;29
505;49;18
506;46;39
507;80;52
508;47;20
509;52;40
510;62;50
511;76;48
512;70;42
513;46;31
514;62;36
515;59;36
516;67;49
517;46;34
518;50;31
519;18;8
520;76;48
521;44;34
522;78;45
523;80;52
524;42;35
525;63;35
526;65;39
527;58;32
528;72;39
529;67;50
530;20;12
531;67;44
532;52;45
533;77;49
534;46;20
535;40;26
536;46;31
537;51;25
538;67;57
539;46;44
540;17;-3
541;61;40
542;61;40
543;81;53
544;26;9
545;39;32
546;61;49
547;49;23
548;56;33
549;61;37
550;46;32
551;47;38
552;56;47
553;72;44
554;46;20
555;64;48
556;26;6
557;65;46
558;43;22
559;49;35
560;43;37
561;69;41
562;43;23
563;18;3
564;49;21
565;73;45
566;53;34
567;47;18
568;61;39
569;60;37
570;62;39
571;42;19
572;55;36
573;59;28
574;68;39
575;60;43
576;64;36
577;59;36
578;27;25
579;58;25
580;53;40
581;44;18
582;60;34
583;48;28
584;65;44
585;47;37
586;65;52
587;65;50
588;54;39
589;48;41
590;25;15
591;77;44
592;52;34
593;38;23
594;58;42
595;59;34
596;55;35
597;63;42
598;57;50
599;60;50
600;43;28
601;49;37
602;73;53
603;66;45
604;64;40
605;78;57
606;44;40
607;37;30
608;51;36
609;52;30
610;43;35
611;44;18
612;74;46
613;15;5
614;80;52
615;47;30
616;63;35
617;52;46
618;73;45
619;59;48
620;47;41
621;54;36
622;52;35
623;68;49
624;54;35
625;52;41
626;68;40
627;30;20
628;29;20
629;60;43
630;56;35
631;80;52
632;57;46
633;46;25
634;71;44
635;65;43
636;51;18
637;73;46
638;63;45
639;70;46
640;64;46
641;43;38
642;48;27
643;60;40
644;49;34
645;73;45
646;44;37
647;40;23
648;54;36
649;56;41
650;39;25
651;83;55
652;63;44
653;61;48
654;70;46
655;54;41
656;62;53
657;136;10
658;23;18
659;52;45
660;68;40
661;46;28
662;58;39
663;52;33
664;55;28
665;67;46
666;71;39
667;58;33
668;64;36
669;49;35
670;67;46
671;68;35
672;49;39
673;67;40
674;44;30
675;64;45
676;57;33
